id,offences,robbery,street_robbery_purse_snatching,bodily_harm,dangerous_and_grievous_bodily_harm,deprivation_of_liberty_coercion_threat_stalking,theft,motor_vehicle_theft,theft_from_motor_vehicle,bicycle_theft,residential_burglary,fire_offences,arson,damage_to_property,damage_to_property_by_graffiti,narcotics_offences,kieztaten
01,72185,750,448,6730,2033,2578,27017,344,3636,3637,500,354,108,5968,1282,3823,15795
02,52829,714,450,4162,1397,1403,21574,223,3443,3320,310,364,133,5205,1081,4771,10751
03,36980,336,220,3102,839,1323,17419,347,2227,3871,549,251,92,4350,1241,921,8353
04,48830,347,201,3501,865,1715,19545,548,4376,2869,676,238,100,4084,905,1407,9821
05,24938,204,113,2575,605,1285,9324,283,2057,708,337,211,99,2409,261,659,6177
06,23901,154,79,1889,395,944,9340,352,1578,1431,562,149,59,2721,658,527,5142
07,34975,270,141,2886,632,1342,14891,434,2685,2031,395,178,60,3497,782,1264,8162
08,40347,395,215,3748,1160,1619,17205,418,4471,2010,487,280,118,3995,529,2146,9658
09,24418,165,95,2271,518,1102,10565,340,1518,2086,367,156,62,2913,670,643,5608
10,22413,233,169,2672,570,1186,8283,344,1611,816,237,170,52,2865,470,488,6035
11,26893,223,139,2857,655,1159,10750,415,1932,1500,262,234,91,3331,721,707,6579
12,24248,216,113,2472,606,1204,8371,204,1629,908,293,175,64,2370,342,713,5762
