id,offences,robbery,street_robbery_purse_snatching,bodily_harm,dangerous_and_grievous_bodily_harm,deprivation_of_liberty_coercion_threat_stalking,theft,motor_vehicle_theft,theft_from_motor_vehicle,bicycle_theft,residential_burglary,fire_offences,arson,damage_to_property,damage_to_property_by_graffiti,narcotics_offences,kieztaten
01,86935,1096,573.0,7515,1966,2233,39314,638,4753,3547,1497,328,121,5744,1392,2864,16300
02,52647,906,622.0,4792,1437,1168,24474,602,2636,3515,1090,265,90,5094,1168,2391,11289
03,39089,332,147.0,2793,632,1051,21063,862,3138,4203,992,233,111,4096,1075,539,8370
04,51527,639,258.0,3998,1049,1507,25733,720,4686,2973,1663,149,64,3759,889,1180,10062
05,28119,295,139.0,2817,661,1078,11725,303,1650,964,598,174,45,2920,481,528,7358
06,26876,288,123.0,1786,337,872,14146,545,3275,1601,1256,127,40,2537,643,423,5008
07,41115,600,288.0,3320,808,1278,18641,506,3253,2169,1022,232,67,3465,673,1122,8411
08,44822,752,411.0,4079,1191,1498,19538,558,3332,1558,1163,251,102,4313,660,1635,10506
09,23394,209,109.0,2009,435,775,10769,500,2236,1923,451,171,76,2822,827,342,4656
10,24943,327,158.0,3139,615,972,9830,508,2032,1114,416,240,82,2818,620,324,6229
11,26202,282,129.0,2433,500,753,12074,619,2147,1474,512,209,91,2909,711,409,6101
12,29817,362,178.0,2780,616,1148,13110,267,2514,1348,903,182,83,2699,434,989,6773
