id,offences,robbery,street_robbery_purse_snatching,bodily_harm,dangerous_and_grievous_bodily_harm,deprivation_of_liberty_coercion_threat_stalking,theft,motor_vehicle_theft,theft_from_motor_vehicle,bicycle_theft,residential_burglary,fire_offences,arson,damage_to_property,damage_to_property_by_graffiti,narcotics_offences,kieztaten
0110,34056,333,186.0,2500,672,596,17765,207,1502,1498,513,62,25,2109,767,708,5411
0120,16402,160,76.0,1181,295,408,5711,149,827,669,267,76,28,948,166,528,2592
0130,14432,236,59.0,1424,365,451,6670,124,849,522,362,59,19,875,162,625,3183
0140,15502,234,105.0,1796,538,631,5949,115,1063,594,354,97,41,1276,197,709,3972
0199,6543,133,147.0,614,96,147,3219,43,512,264,1,34,8,536,100,294,1142
0210,7974,120,68.0,676,186,236,3366,55,618,336,186,41,15,616,112,257,1636
0220,9198,119,65.0,750,222,248,4553,133,550,883,338,31,14,698,164,253,1828
0230,10457,292,230.0,1019,360,198,4867,93,298,684,222,57,17,907,246,812,2228
0240,8344,101,66.0,741,218,176,4175,107,430,428,124,26,4,770,198,208,1775
0250,12452,137,82.0,1143,366,221,5655,164,420,991,220,84,39,1590,374,514,2861
0299,4222,137,111.0,463,85,89,1858,50,320,193,0,26,1,513,74,347,961
0310,1534,11,4.0,116,20,66,793,17,131,138,29,17,9,221,78,31,302
0320,2644,18,6.0,186,46,104,1293,78,310,209,81,19,7,281,50,24,525
0330,2278,9,3.0,162,30,72,1221,39,289,213,98,15,10,166,18,20,353
0340,6758,62,25.0,489,109,209,3770,102,530,1054,228,28,12,585,112,60,1496
0350,4453,37,15.0,390,75,161,2181,80,346,301,89,51,37,529,114,67,1239
0360,12432,119,54.0,776,201,219,6936,272,747,1435,250,49,18,1247,432,178,2378
0370,6488,41,16.0,459,113,124,3705,205,432,729,205,32,15,691,195,87,1532
0399,2502,35,24.0,215,38,96,1164,69,353,124,12,22,3,376,76,72,545
0410,2461,51,14.0,283,62,140,943,58,283,63,79,14,7,204,13,148,660
0420,5231,46,13.0,293,81,128,2987,93,667,241,172,15,10,363,96,38,780
0430,16221,228,98.0,1181,300,427,7932,132,994,1132,505,48,22,1157,264,488,3170
0440,4006,34,15.0,244,57,129,2380,103,729,265,330,10,5,360,75,23,921
0450,20159,236,87.0,1598,502,512,9961,281,1565,1140,577,53,20,1326,361,354,3754
0499,3449,44,31.0,399,47,171,1530,53,448,132,0,9,0,349,80,129,777
0510,10969,151,67.0,1311,290,443,4395,93,591,435,216,88,18,1065,139,280,3292
0520,10713,84,39.0,969,251,411,4427,120,504,311,215,45,12,1059,203,164,2570
0530,3655,38,19.0,300,71,119,1785,53,306,137,83,17,6,352,46,37,927
0540,927,3,1.0,64,15,28,429,10,101,19,80,9,4,116,17,3,149
0599,1855,19,13.0,173,34,77,689,27,148,62,4,15,5,328,76,44,420
0610,7781,113,48.0,436,85,204,4401,136,585,399,269,28,11,534,133,90,1383
0620,5572,47,23.0,520,108,221,2525,114,634,301,226,36,12,594,126,135,1261
0630,5874,59,18.0,339,61,190,3247,140,837,482,314,33,12,528,90,83,1057
0640,6148,40,15.0,354,72,178,3402,132,1072,344,446,20,4,636,236,67,956
0699,1501,29,19.0,137,11,79,571,23,147,75,1,10,1,245,58,48,351
0710,8833,216,105.0,711,222,222,4219,83,477,437,233,49,19,632,132,281,1829
0720,6424,79,42.0,538,148,169,2837,52,337,607,162,22,9,500,120,172,1353
0730,4798,52,16.0,246,41,98,2785,78,392,397,90,26,7,343,99,61,673
0740,8441,84,32.0,620,148,276,3444,105,727,345,145,42,13,651,113,230,1560
0750,4200,53,28.0,395,88,165,1794,86,481,132,145,23,5,453,59,97,1077
0760,5619,47,20.0,548,118,234,2504,81,613,170,247,45,13,547,87,104,1305
0799,2800,69,45.0,262,43,114,1058,21,226,81,0,25,1,339,63,177,614
0810,28679,487,254.0,2697,842,904,12378,251,1533,982,658,147,68,2655,486,1362,6829
0820,6231,93,53.0,538,145,240,2675,118,774,182,251,49,18,591,64,66,1552
0830,3862,70,31.0,263,64,112,1745,43,221,159,72,27,11,464,54,22,803
0840,3572,40,19.0,297,86,129,1723,121,524,162,181,21,4,339,26,18,728
0899,2478,62,54.0,284,54,113,1017,25,280,73,1,7,1,264,30,167,594
0910,5808,78,43.0,389,83,161,2872,130,604,477,166,27,11,587,151,91,1073
0920,7283,62,33.0,719,182,224,3116,129,407,514,68,44,25,941,359,103,1496
0930,2893,14,4.0,263,48,122,1314,86,397,207,102,22,9,320,87,40,534
0940,1851,7,2.0,197,23,77,821,43,165,169,27,20,4,254,49,17,473
0950,3852,24,11.0,258,66,116,1950,76,356,490,88,35,18,393,87,54,661
0999,1707,24,16.0,183,33,75,696,36,307,66,0,23,9,327,94,37,419
1010,11333,151,59.0,1486,308,407,4388,300,904,344,110,86,32,1147,228,123,2896
1020,7457,104,61.0,1124,213,345,2593,93,373,383,57,107,36,985,244,140,2279
1030,2186,9,4.0,162,22,63,1200,34,277,185,55,14,7,199,25,17,315
1040,2595,17,6.0,155,28,89,1233,56,376,164,194,8,3,256,80,17,339
1099,1372,46,28.0,212,44,68,416,25,102,38,0,25,4,231,43,27,400
1110,4831,60,21.0,629,112,144,1993,89,271,183,93,32,16,484,77,108,1357
1120,4126,41,16.0,304,55,130,2158,92,409,184,110,23,9,481,102,45,1018
1130,7997,74,42.0,695,155,204,3669,165,649,487,111,42,16,789,198,118,1653
1140,5817,69,25.0,536,114,165,2712,167,460,401,118,53,24,638,204,88,1347
1150,1875,14,8.0,125,31,49,1000,68,221,189,76,35,16,255,47,15,400
1199,1556,24,17.0,144,33,61,542,38,137,30,4,24,10,262,83,35,326
1210,6175,77,27.0,690,156,290,2542,62,466,326,139,44,23,554,83,260,1711
1220,7029,77,31.0,629,156,281,2843,53,401,262,162,27,18,609,97,348,1518
1240,3388,24,10.0,205,38,93,1833,57,655,341,334,16,5,441,95,41,600
1250,4503,57,26.0,418,87,170,2204,32,366,234,163,28,8,366,77,111,898
1260,5457,95,62.0,674,155,255,2447,42,404,158,103,45,18,518,50,149,1675
1299,3265,32,22.0,164,24,59,1241,21,222,27,2,22,11,211,32,80,371
