id,offences,robbery,street_robbery_purse_snatching,bodily_harm,dangerous_and_grievous_bodily_harm,deprivation_of_liberty_coercion_threat_stalking,theft,motor_vehicle_theft,theft_from_motor_vehicle,bicycle_theft,residential_burglary,fire_offences,arson,damage_to_property,damage_to_property_by_graffiti,narcotics_offences,kieztaten
011001,38575,571,409,3340,768,754,19164,106,2205,1733,366,127,78,2107,585,951,6623
011002,102068,752,356,4731,950,1287,57888,148,2840,3593,475,99,40,3108,1089,455,8541
011003,45938,305,176,2882,830,629,24324,156,1572,2097,459,68,23,2295,660,971,5876
011004,16175,102,46,731,145,215,8665,208,815,1486,381,32,21,1302,494,258,3060
012005,16612,257,121,1272,338,416,6810,119,1304,756,250,56,22,993,165,369,2713
012006,38491,232,120,2002,516,560,13505,115,1180,1240,268,49,16,1224,229,934,3852
013007,21157,259,156,2074,641,647,9561,92,871,837,441,92,34,1264,190,610,4175
013008,20049,229,101,1534,392,534,8738,177,1104,1084,308,60,27,1455,346,744,3381
014009,16095,184,100,1534,402,486,8119,125,1216,778,286,70,36,1119,204,436,3383
014010,18140,264,161,1829,551,630,6873,86,894,778,362,61,25,1142,227,1039,3760
019900,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
021001,28914,335,157,1755,495,572,12863,145,2165,1097,380,75,25,1715,305,1052,4127
022002,18081,165,76,1211,300,314,9672,222,1165,1902,380,59,29,1198,252,548,2836
023003,36325,656,321,2888,1029,472,16921,165,1246,1718,406,137,42,2081,566,2454,5370
023004,31095,615,394,1750,705,532,12564,184,1143,1530,307,101,47,1682,593,7074,4058
024005,10913,154,77,665,202,206,6255,210,845,1000,326,39,13,965,266,154,2930
024006,31468,523,355,2631,719,460,16428,121,987,1288,184,59,29,2070,690,1752,5174
025007,16064,97,52,1108,330,271,7338,184,469,1375,208,135,63,1924,469,243,3709
025008,24917,395,204,2164,760,330,11924,132,744,1408,247,69,24,2184,837,3016,4825
029900,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
031001,12337,66,33,1187,336,501,5918,257,1220,970,158,145,26,1827,396,198,2837
032002,5459,26,4,421,78,205,2711,71,731,433,246,52,15,537,145,67,1066
032003,4578,12,0,351,69,138,2205,104,253,207,196,40,23,535,190,29,783
033004,4429,37,21,320,69,197,2361,91,592,490,203,27,5,506,85,21,768
033005,10059,55,7,679,171,261,5472,103,850,885,425,34,21,782,171,41,1317
034006,6052,34,6,319,40,177,3217,114,884,422,382,51,23,616,114,46,998
034007,11265,110,64,667,147,260,6583,150,563,1830,257,38,14,1152,332,121,2272
034008,8244,98,59,483,98,207,4540,154,657,995,216,33,21,811,228,107,2452
035009,11666,58,19,931,203,375,6703,242,854,984,270,47,6,1293,264,125,3278
035010,9616,33,7,890,165,297,4696,165,890,554,303,59,20,1101,297,218,2401
036011,15348,171,95,818,238,183,9329,155,834,1716,230,83,40,1232,457,270,4593
036012,14756,89,30,708,149,201,9754,320,771,2015,209,34,15,916,294,112,4466
036013,13661,27,13,566,157,180,9482,144,440,1451,310,22,13,1254,431,85,5393
036014,18684,121,62,903,202,280,10974,222,1651,1515,296,66,35,2044,1005,167,3049
037015,15867,67,35,1122,315,201,9884,232,854,1515,457,39,16,1551,535,181,4723
037016,11167,41,25,462,106,162,7415,247,1017,1095,300,44,31,1036,321,53,3898
039900,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
041001,15545,127,58,1236,206,613,6302,280,1769,359,380,69,21,1178,53,845,3571
042002,16928,87,55,1186,316,308,6902,308,2024,625,870,79,24,1210,316,190,2467
042003,17501,88,44,833,190,449,10748,292,1267,661,515,80,26,1085,99,47,2710
043004,13168,119,71,999,247,375,6769,161,828,1191,344,28,9,1006,218,287,2668
043005,14979,133,67,1039,307,386,6816,187,1406,820,313,80,47,973,127,200,2545
043006,23262,231,109,1416,347,465,12542,101,972,1536,398,42,19,1292,124,408,3907
044007,9499,54,32,698,150,360,5378,258,1703,441,994,48,27,924,263,59,2300
044008,7255,43,22,445,46,178,4408,224,1001,928,350,18,12,593,92,43,1570
045009,16282,107,53,846,179,381,8726,267,1356,1131,606,30,19,952,179,209,3154
045010,34503,362,170,2695,709,605,19011,240,1812,1493,562,63,28,1612,448,375,5707
045011,11897,125,82,711,113,261,6718,186,1167,1543,383,15,6,794,215,138,2367
049900,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
051001,7325,64,38,821,115,381,3532,124,637,304,192,56,30,787,64,64,2386
051002,7837,78,43,1007,213,452,3228,98,442,357,234,70,23,831,58,90,2831
051003,18330,282,154,1759,445,710,7474,179,858,548,249,73,34,1476,268,489,4494
052004,7373,71,27,705,124,337,3609,160,545,288,279,67,22,785,49,44,1938
052005,9224,77,49,1182,284,449,3784,109,673,203,270,74,42,1045,302,81,2855
052006,17823,83,37,1376,272,470,7278,112,820,530,215,43,14,1164,232,413,2697
053007,12708,137,46,1016,189,436,6490,371,931,469,247,65,33,749,85,130,3151
053008,14942,118,47,1013,228,393,7770,275,1029,613,314,102,39,919,173,110,2875
