id,offences,robbery,street_robbery_purse_snatching,bodily_harm,dangerous_and_grievous_bodily_harm,deprivation_of_liberty_coercion_threat_stalking,theft,motor_vehicle_theft,theft_from_motor_vehicle,bicycle_theft,residential_burglary,fire_offences,arson,damage_to_property,damage_to_property_by_graffiti,narcotics_offences,kieztaten
01,96716,763,465,7856,2002,2221,41915,485,4440,4378,960,287,113,5625,1488,3839,15900
02,54849,608,374,4536,1589,1139,25208,413,2981,4119,611,179,68,4629,1324,4541,9988
03,38750,303,154,3103,804,1013,19757,582,2878,4024,832,195,74,4126,1401,632,8466
04,53357,401,198,3967,921,1319,25950,875,3973,3352,962,157,65,3806,978,942,9595
05,26240,256,138,2960,731,980,11303,306,1636,1272,603,148,67,2281,364,476,5999
06,23409,146,69,1674,335,796,11441,476,1892,2197,768,187,71,2582,667,373,4239
07,39611,355,184,3197,720,1139,19009,562,3012,2745,719,216,83,3199,636,1095,7542
08,42520,480,260,3950,1171,1333,20420,597,3227,2167,967,237,108,3764,668,1311,10112
09,24256,200,113,2306,497,750,11453,674,2100,2023,439,105,48,2871,890,495,5042
10,24819,199,111,3152,558,871,9941,676,1732,1047,458,140,44,2871,768,357,6356
11,27379,218,140,2640,577,785,12488,691,2261,1723,529,183,64,2772,688,515,5759
12,30093,236,118,2942,703,1106,11335,305,2176,1035,724,176,67,2459,556,927,6029
