id,offences,robbery,street_robbery_purse_snatching,bodily_harm,dangerous_and_grievous_bodily_harm,deprivation_of_liberty_coercion_threat_stalking,theft,motor_vehicle_theft,theft_from_motor_vehicle,bicycle_theft,residential_burglary,fire_offences,arson,damage_to_property,damage_to_property_by_graffiti,narcotics_offences,kieztaten
01,81178,823,502,7717,2346,3097,34999,413,4084,4622,578,390,112,6169,1195,3317,17852
02,54988,935,667,4931,1739,1558,24461,299,2946,4105,327,323,94,5043,1057,4599,12827
03,40120,460,351,3463,999,1484,20342,560,2564,4123,629,275,89,4348,1032,750,9248
04,48858,416,251,3694,902,2058,21153,628,4004,2854,736,249,78,3965,823,1335,10286
05,26342,272,170,2882,678,1415,10550,358,2373,867,474,266,121,2445,283,559,7072
06,23757,167,106,1935,349,1032,10858,499,1571,1701,662,158,60,2672,587,458,5471
07,39290,332,227,3567,753,1752,18227,517,2767,2505,458,194,54,3698,743,1080,9996
08,42790,493,279,4233,1212,1749,19204,503,4442,2156,515,334,128,3739,402,1986,9881
09,26843,244,156,2574,636,1254,12100,459,1908,1917,429,209,82,3195,674,629,6482
10,26230,263,172,3075,652,1308,11440,438,2156,1099,423,248,71,2895,462,434,7341
11,29805,295,214,3064,733,1219,13968,547,2298,1565,471,246,80,3154,690,556,7607
12,27251,227,140,2751,680,1461,10088,331,1897,1066,452,204,78,2311,269,644,6625
