id,offences,robbery,street_robbery_purse_snatching,bodily_harm,dangerous_and_grievous_bodily_harm,deprivation_of_liberty_coercion_threat_stalking,theft,motor_vehicle_theft,theft_from_motor_vehicle,bicycle_theft,residential_burglary,fire_offences,arson,damage_to_property,damage_to_property_by_graffiti,narcotics_offences,kieztaten
01,79401,738,438,7319,2053,2359,32070,382,3460,3548,778,364,118,6433,1539,3657,16277
02,57083,740,452,4787,1563,1245,24139,252,2714,3832,513,362,106,5677,1236,5995,11739
03,38007,305,195,3159,733,1183,18423,405,2233,3862,598,235,78,4771,1440,1093,8869
04,48423,394,247,3860,945,1440,22004,471,3987,3260,1069,188,88,3928,869,1482,10515
05,24379,231,126,2860,644,1145,9317,300,1416,885,441,191,69,2344,295,684,6634
06,22879,178,116,2099,386,859,10190,313,1448,1665,872,160,61,2969,877,495,5417
07,39081,278,162,3222,748,1376,17780,398,2551,2409,600,177,86,3705,915,1324,9410
08,42870,451,232,4287,1258,1584,18270,380,3372,1943,731,335,145,4140,635,2756,10100
09,24747,226,133,2395,577,1016,10801,382,1462,2329,395,135,58,2862,769,797,5728
10,22830,289,174,3088,585,952,8725,430,1480,928,318,217,81,2791,540,588,6089
11,28531,247,143,2999,648,1034,12785,384,1929,1805,335,199,75,3483,730,605,7242
12,25386,222,114,2646,648,1174,8798,279,1675,900,414,173,72,2278,378,789,5972
