id,offences,robbery,street_robbery_purse_snatching,bodily_harm,dangerous_and_grievous_bodily_harm,deprivation_of_liberty_coercion_threat_stalking,theft,motor_vehicle_theft,theft_from_motor_vehicle,bicycle_theft,residential_burglary,fire_offences,arson,damage_to_property,damage_to_property_by_graffiti,narcotics_offences,kieztaten
0110,34178,266,165,2746,769,880,14895,112,1144,1647,255,99,27,2550,682,1234,6389
0120,15654,125,65,1302,336,411,5475,63,495,756,209,103,32,1191,174,813,3095
0130,12694,121,65,1410,419,437,5116,91,689,537,125,80,24,1253,414,721,2942
0140,13825,161,91,1638,465,554,5166,90,909,494,189,66,30,1266,242,789,3345
0199,3050,65,52,223,64,77,1418,26,223,114,0,16,5,173,27,100,506
0210,9047,141,62,732,233,251,3787,26,555,395,90,86,28,735,133,682,1698
0220,11057,125,71,854,253,262,5259,53,698,1065,120,53,15,874,221,680,1991
0230,12498,205,140,1071,458,243,4874,47,581,771,122,60,22,922,156,2419,2330
0240,9782,105,66,936,244,203,4383,50,370,577,59,38,9,890,192,691,2154
0250,13045,115,71,1093,334,244,5003,67,357,936,122,121,31,2143,521,1359,3296
0299,1654,49,42,101,41,42,833,9,153,88,0,4,1,113,13,164,270
0310,1882,19,9,215,50,71,807,12,86,89,13,15,6,221,75,46,395
0320,2392,20,8,202,33,96,1076,38,184,218,78,13,4,246,36,30,499
0330,2196,7,6,183,30,81,928,18,125,165,76,8,3,253,62,42,372
0340,6396,54,27,535,117,234,3101,71,392,820,126,33,13,761,217,134,1409
0350,4716,34,19,403,96,201,2236,71,367,425,80,42,14,653,152,114,1274
0360,13314,107,73,1038,258,310,6775,122,617,1371,131,82,22,1680,608,527,3046
0370,6152,43,33,500,127,150,3050,62,362,683,93,30,9,837,275,156,1655
0399,959,21,20,83,22,40,450,11,100,91,1,12,7,120,15,44,219
0410,2401,22,10,244,58,100,869,39,288,68,111,24,10,208,39,306,612
0420,4357,30,15,346,75,180,2048,61,394,264,133,35,16,453,121,69,1085
0430,14808,146,94,1289,305,488,6939,93,982,1125,268,57,25,1334,307,424,3303
0440,4138,27,16,303,61,162,2066,94,552,329,190,24,18,445,110,50,967
0450,21425,142,92,1543,402,459,9472,160,1567,1417,367,42,15,1386,278,590,4258
0499,1294,27,20,135,44,51,610,24,204,57,0,6,4,102,14,43,290
0510,10157,111,64,1251,284,547,3679,93,567,432,150,80,29,1094,133,394,3105
0520,9442,78,37,1107,257,409,3674,128,401,292,175,70,23,800,111,190,2454
0530,3367,25,12,349,74,119,1385,48,338,102,60,29,10,293,41,74,743
