id,offences,robbery,street_robbery_purse_snatching,bodily_harm,dangerous_and_grievous_bodily_harm,deprivation_of_liberty_coercion_threat_stalking,theft,motor_vehicle_theft,theft_from_motor_vehicle,bicycle_theft,residential_burglary,fire_offences,arson,damage_to_property,damage_to_property_by_graffiti,narcotics_offences,kieztaten
0110,37679,259,167,2742,659,596,18280,147,1196,1871,262,55,16,2170,756,1445,5580
0120,16675,132,76,1343,314,425,6100,67,678,807,156,60,20,931,172,909,2685
0130,12505,145,83,1395,376,474,5158,111,629,533,160,57,19,990,280,605,2701
0140,14480,146,80,1711,430,487,5941,114,879,797,196,69,17,1274,283,659,3333
0199,3888,51,43,259,75,86,2323,26,272,165,1,4,3,163,19,174,600
0210,8680,103,59,674,193,215,3779,55,587,459,114,36,10,578,112,813,1584
0220,10388,91,51,772,254,231,5825,90,744,1201,139,45,14,768,153,295,2083
0230,10263,175,129,936,367,206,4222,55,408,762,147,40,7,756,220,1456,1942
0240,9136,99,70,903,277,185,4173,68,433,601,81,22,13,707,168,683,1696
0250,13699,119,77,1340,457,275,5414,71,462,1105,151,46,15,1552,471,1239,2690
0299,1643,45,40,114,39,33,971,17,147,125,0,7,1,106,5,139,267
0310,1478,11,2,179,37,72,634,15,66,144,13,12,6,176,47,33,337
0320,2466,16,9,194,25,75,1127,53,184,258,63,15,6,245,33,25,471
0330,2204,10,5,178,41,65,1109,23,209,228,93,9,2,241,50,26,384
0340,6854,72,48,507,120,217,3390,119,423,1016,174,41,12,664,187,97,1402
0350,4290,32,17,451,113,172,1935,104,219,364,87,35,11,486,73,92,1028
0360,12666,122,56,1040,291,293,6024,168,483,1409,168,63,27,1268,506,350,2310
0370,5829,36,22,500,111,123,3002,90,351,697,112,17,4,612,178,90,1240
0399,1039,21,18,60,15,27,540,31,111,144,1,5,3,68,8,33,153
0410,2532,23,6,279,84,107,1030,70,240,123,51,16,9,232,22,185,721
0420,5382,44,29,471,128,163,2829,101,479,289,168,19,10,384,86,78,1019
0430,15729,124,62,1368,302,461,7889,136,726,1231,268,65,30,1182,268,249,3529
0440,3922,26,9,251,45,113,1953,120,491,329,155,21,11,426,124,48,814
0450,22796,167,73,1546,402,476,10913,207,1058,1413,291,67,28,1256,306,394,4531
0499,1299,33,26,132,50,57,760,47,183,89,0,7,4,78,7,70,274
0510,10543,156,97,1345,331,426,4098,125,761,505,96,75,36,911,65,306,2798
0520,10444,100,51,1208,306,425,4387,112,484,375,148,60,24,865,114,203,2405
0530,3192,32,15,322,59,109,1543,77,238,225,55,13,5,262,55,41,831
0540,932,7,3,104,21,58,395,12,61,38,66,9,3,82,2,11,217
0599,742,20,18,67,24,41,379,17,136,46,0,7,5,74,5,23,172
0610,6683,48,25,456,96,194,3593,75,412,598,123,26,5,527,141,119,1224
0620,5362,38,12,586,113,269,2201,74,455,293,167,35,16,551,79,122,1338
0630,5789,24,10,439,74,196,2898,91,704,695,159,44,16,577,64,100,1076
0640,5262,20,11,343,80,133,2586,85,648,451,214,45,19,764,332,93,790
0699,572,7,5,38,10,29,355,9,91,85,0,4,1,33,2,26,97
0710,10719,117,74,802,240,227,6220,55,396,598,132,27,14,595,125,460,3424
0720,7537,43,17,549,132,215,3572,49,329,684,115,20,8,591,175,259,1724
0730,3964,23,10,259,68,108,2248,72,239,437,88,18,9,354,81,56,739
0740,8773,57,24,655,153,262,3742,105,653,506,134,51,11,814,241,359,1727
0750,4091,27,16,362,76,131,1749,57,416,186,119,31,13,449,75,82,896
0760,5431,47,25,564,109,200,2206,62,533,189,158,39,17,578,121,137,1221
0799,1065,22,17,81,17,48,697,19,128,108,0,2,1,60,6,33,196
0810,27138,297,155,2610,823,741,12867,181,1834,1369,352,137,66,2397,430,1362,6146
0820,6383,86,48,641,138,304,2637,107,698,217,174,50,27,708,117,128,1680
0830,3644,55,32,399,95,149,1878,52,243,101,67,14,3,337,26,48,1258
0840,3425,43,28,296,63,141,1541,101,410,123,141,34,12,368,55,43,754
0899,1091,24,23,84,34,44,639,11,150,39,2,6,2,60,7,52,202
0910,6326,64,34,505,101,217,3140,101,472,586,144,45,19,617,135,136,1441
0920,7994,75,38,863,180,261,3501,142,511,551,91,39,19,834,275,267,1673
0930,3446,20,12,345,50,122,1449,97,266,250,129,31,10,409,130,49,729
0940,2136,8,4,252,52,92,814,39,174,162,52,29,10,283,43,44,536
0950,3899,30,19,349,94,104,1762,55,196,499,80,21,10,447,87,64,746
