id,district_region_name,offences,robbery,street_robbery_purse_snatching,bodily_harm,dangerous_and_grievous_bodily_harm,deprivation_of_liberty_coercion_threat_stalking,theft,motor_vehicle_theft,theft_from_motor_vehicle,bicycle_theft,residential_burglary,fire_offences,arson,damage_to_property,damage_to_property_by_graffiti,narcotics_offences,kieztaten
111003,Neu-Hohenschönhausen Süd,2316,32,26,331,91,161,880,34,187,43,18,38,11,328,50,43,753
112004,Alt-Hohenschönhausen Nord,1977,26,20,203,51,109,865,21,173,51,47,8,5,168,31,27,493
112005,Alt-Hohenschönhausen Süd,2834,28,19,317,74,104,1337,105,289,131,64,24,10,246,38,48,786
113006,Fennpfuhl,3085,35,27,300,76,117,1501,84,301,136,52,20,8,383,80,42,811
113007,Alt-Lichtenberg,5229,31,15,538,137,169,2505,88,355,279,55,67,20,508,125,93,1120
113008,Frankfurter Allee Süd,2244,24,18,147,28,33,1146,26,143,71,22,7,3,220,95,64,539
114009,Neu-Lichtenberg,3012,37,28,334,68,113,1450,42,180,289,26,9,2,337,89,63,707
114010,Friedrichsfelde Nord,1495,13,9,170,38,79,620,36,146,90,13,13,2,196,55,36,460
114011,Friedrichsfelde Süd,2026,16,11,190,42,82,932,31,129,105,35,17,6,237,47,30,482
115012,Rummelsburger Bucht,513,6,4,38,7,10,287,13,33,75,11,3,1,59,18,11,91
115013,Karlshorst,1477,10,7,121,26,75,785,30,79,196,62,6,1,127,24,19,372
119900,"Bezirk (Lb), nicht zuzuordnen",1026,6,6,36,7,19,722,15,131,41,0,5,0,51,7,10,199
120000,Reinickendorf,27251,227,140,2751,680,1461,10088,331,1897,1066,452,204,78,2311,269,644,6625
121001,Ost 1 - Reginhardstraße,2725,22,15,332,77,182,1084,35,258,81,52,29,14,264,20,83,910
121002,Ost 2 - Alt-Reinickendorf,3743,29,16,322,70,166,1416,50,325,121,55,26,8,308,48,71,877
122003,West 4 - Auguste-Viktoria-Allee,3168,37,14,411,118,166,1307,22,214,105,30,24,3,294,32,84,795
122004,West 1 - Tegel-Süd/Flughafensee,1849,18,9,199,51,130,588,26,173,38,37,15,7,171,7,148,506
122005,West 5 - Tegel,1772,22,17,181,48,69,935,4,41,86,10,4,2,99,12,24,346
124006,West 2 - Heiligensee/Konradshöhe,1003,3,1,96,27,74,409,22,100,56,31,10,8,128,20,11,229
124007,Nord 1 - Frohnau/Hermsdorf,1651,12,9,128,35,77,775,37,119,202,90,10,1,204,28,22,359
125008,West 3 - Borsigwalde/Freie Scholle,1155,12,9,121,23,97,417,22,102,60,20,15,5,116,4,46,317
125009,Nord 2 - Waidmannslust/Wittenau/Lübars,5490,25,17,378,96,170,1363,44,234,144,71,15,9,284,82,72,859
126010,Rollbergesiedlung,852,7,6,70,14,51,347,15,56,27,14,7,2,87,3,12,222
126011,MV Nord,2280,19,14,353,89,161,788,29,141,70,18,32,8,227,7,46,784
126012,MV Süd,872,11,6,109,18,86,254,9,58,27,23,6,2,84,4,18,294
129900,"Bezirk (Rd), nicht zuzuordnen",691,10,7,51,14,32,405,16,76,49,1,11,9,45,2,7,127
999900,"Stadtgebiet Berlin, nicht zuzuordnen",52375,89,49,539,155,1285,6413,29,422,221,1,10,5,1203,556,715,2115
999999,Berlin (PKS gesamt),519827,5016,3284,44425,11834,20672,213803,5581,33432,28801,6155,3106,1052,44837,8773,17062,112803
