id,offences,robbery,street_robbery_purse_snatching,bodily_harm,dangerous_and_grievous_bodily_harm,deprivation_of_liberty_coercion_threat_stalking,theft,motor_vehicle_theft,theft_from_motor_vehicle,bicycle_theft,residential_burglary,fire_offences,arson,damage_to_property,damage_to_property_by_graffiti,narcotics_offences,kieztaten
0110,44111,352,241,2686,655,657,24813,174,1529,2347,429,89,32,2138,681,834,5644
0120,28602,186,100,1662,447,429,8775,88,996,992,285,90,30,1109,156,1087,3514
0130,15679,167,92,1380,367,400,7664,118,906,685,328,68,19,1064,243,478,2882
0140,17614,179,99,1718,456,518,8033,120,1181,808,310,55,25,1287,250,855,3838
0199,0,92,79,0,11,43,0,33,361,206,2,7,6,0,0,96,137
0210,11035,201,117,733,246,208,5342,66,773,591,136,44,11,691,128,763,1718
0220,10711,104,56,747,213,233,5790,130,707,1148,204,59,36,896,182,270,1890
0230,12709,262,168,993,392,194,5834,54,522,719,124,55,17,1060,352,1687,1963
0240,10296,136,85,857,238,167,5474,114,451,678,139,32,14,800,219,440,2292
0250,15603,162,83,1275,353,263,7232,90,502,1316,171,104,38,1816,567,1110,3414
0299,0,82,65,0,11,19,312,21,201,194,1,0,0,31,0,161,91
0310,1878,11,5,187,43,78,968,26,144,107,51,28,13,219,43,26,406
0320,2551,8,0,193,32,105,1245,53,235,170,143,18,10,275,67,35,517
0330,2312,9,5,139,30,58,1212,28,185,189,148,27,10,200,51,18,302
0340,7703,50,28,487,88,194,4083,107,556,986,230,37,17,743,222,83,1579
0350,5221,42,23,449,90,170,2623,93,306,388,109,47,20,608,162,90,1307
0360,15387,116,56,861,206,280,9058,213,862,1847,339,60,19,1503,548,229,3391
0370,7464,44,17,486,126,134,4301,151,504,976,211,28,9,746,275,68,1735
0399,542,36,29,32,13,16,334,49,191,172,1,8,1,2,0,46,134
0410,3176,37,17,312,71,134,1353,61,382,66,51,20,12,274,26,197,778
0420,6463,35,16,459,97,163,3655,103,530,245,149,23,13,413,80,53,1041
0430,18946,173,92,1312,268,439,10235,187,1119,1305,314,62,33,1285,277,338,3114
0440,4171,25,16,266,43,122,2338,123,586,383,259,21,6,379,105,37,796
0450,22486,220,122,1557,377,498,11851,230,1474,1368,323,43,16,1222,321,287,3567
0499,0,33,29,13,9,62,0,51,254,79,0,6,3,0,0,36,145
0510,11166,120,73,1340,312,480,4842,110,682,503,237,65,25,955,107,239,2831
0520,10841,89,41,1134,260,374,5017,94,576,364,325,62,23,979,168,125,2518
