id,offences,robbery,street_robbery_purse_snatching,bodily_harm,dangerous_and_grievous_bodily_harm,deprivation_of_liberty_coercion_threat_stalking,theft,motor_vehicle_theft,theft_from_motor_vehicle,bicycle_theft,residential_burglary,fire_offences,arson,damage_to_property,damage_to_property_by_graffiti,narcotics_offences,kieztaten
01,83611,884,521,8144,2303,3546,38043,437,4811,4445,809,420,137,6172,976,3306,19212
02,55838,923,606,5502,1839,2110,25285,394,3674,4084,495,298,85,4906,801,4455,12724
03,39164,529,389,3840,990,1931,18502,544,2480,3562,688,283,99,4576,942,910,10043
04,53630,464,278,4171,1010,2473,24774,899,5211,2862,1022,242,79,4134,750,1431,12175
05,25564,247,144,2850,652,1405,10292,530,2030,776,475,265,111,2379,226,645,6473
06,23719,213,129,2024,423,1081,11090,676,1855,1666,961,151,52,2698,481,397,5422
07,41776,328,198,3893,948,1914,19503,787,3512,2702,730,243,86,3592,622,1435,10132
08,45313,508,294,4577,1388,1869,21267,653,5056,2148,722,408,145,4165,379,1869,10253
09,26099,207,118,2788,678,1380,12052,683,2298,2133,564,206,77,3152,558,680,6720
10,26649,315,177,3378,650,1510,11475,793,2155,980,698,317,96,2908,392,424,8203
11,31563,362,259,3543,803,1546,15176,772,2948,1802,606,222,79,3206,628,663,8499
12,27344,311,173,2917,737,1536,11147,575,2460,1203,547,223,76,2481,203,553,7323
