id,offences,robbery,street_robbery_purse_snatching,bodily_harm,dangerous_and_grievous_bodily_harm,deprivation_of_liberty_coercion_threat_stalking,theft,motor_vehicle_theft,theft_from_motor_vehicle,bicycle_theft,residential_burglary,fire_offences,arson,damage_to_property,damage_to_property_by_graffiti,narcotics_offences,kieztaten
011001,4377,52,33,482,171,99,1953,16,269,112,68,12,3,224,23,122,851
011002,6334,58,25,439,124,129,2975,9,256,147,37,8,4,327,118,83,799
011003,17729,194,101,1411,446,259,8297,70,650,732,274,47,27,1359,480,356,2799
011004,4034,50,25,241,62,62,1873,85,176,387,131,14,5,449,153,191,724
012005,7281,123,45,610,188,190,2396,90,376,321,161,39,22,495,59,245,1357
012006,8716,78,36,659,175,208,3153,58,319,321,90,34,9,416,72,389,1327
013007,7854,117,44,774,226,263,3679,52,416,271,226,38,18,518,83,233,1674
013008,6224,132,62,640,185,189,2845,67,434,208,252,33,6,479,88,148,1463
014009,6522,103,43,756,211,308,2703,72,491,359,157,48,17,523,58,227,1730
014010,9142,202,91,1159,418,366,3281,55,389,289,298,50,22,756,85,536,2454
019900,7348,144,105,750,156,169,3331,46,541,211,1,31,7,634,127,319,1367
021001,7797,139,64,712,222,254,2934,50,431,305,219,46,13,693,122,334,1731
022002,9459,141,65,802,241,205,4660,82,534,857,390,56,21,837,187,300,2017
023003,4381,95,55,445,140,107,2121,22,154,283,103,29,9,376,67,132,951
023004,4278,102,76,389,137,102,1838,32,197,334,162,27,12,451,135,368,965
024005,2616,55,30,224,58,53,1193,65,192,180,56,15,5,345,47,19,598
024006,6140,69,45,552,136,110,2803,37,194,280,59,20,7,554,122,142,1094
025007,3633,32,15,247,84,73,1531,55,109,279,59,46,15,483,81,46,771
025008,8009,124,65,847,280,152,3493,57,276,575,165,59,19,1106,296,241,1968
029900,3874,111,89,395,85,97,1477,36,293,192,1,16,4,654,254,271,906
031001,1776,15,5,151,46,43,994,28,166,189,21,17,6,203,54,32,307
032002,1579,11,4,123,24,49,725,36,157,144,67,25,13,193,28,11,306
032003,977,8,2,71,12,35,441,18,65,52,38,10,1,105,13,13,173
033004,872,2,0,44,8,34,462,11,79,169,19,8,5,117,30,4,143
033005,1452,7,1,60,9,15,836,13,147,133,55,8,2,120,13,15,128
034006,1130,20,8,70,22,22,547,15,127,100,81,7,1,132,17,18,206
034007,3355,29,10,189,57,74,1949,55,172,482,61,13,5,353,98,27,754
034008,2402,19,9,187,34,66,1203,46,155,381,50,9,7,280,85,22,577
035009,3129,30,13,279,70,91,1470,43,179,213,93,17,11,455,150,50,773
035010,1327,20,8,102,22,50,596,20,95,74,23,3,1,183,32,17,319
036011,3150,48,14,202,61,72,1654,89,160,389,78,20,9,299,101,44,677
036012,3156,29,8,148,33,55,1834,83,135,399,67,5,0,263,75,29,550
036013,2374,22,5,167,40,51,1198,41,67,281,99,8,3,247,98,21,580
036014,3876,53,26,232,71,71,2037,50,185,277,61,18,8,433,154,42,670
037015,3535,17,11,339,92,66,1943,52,210,369,147,9,2,512,186,33,967
037016,2635,14,6,157,30,79,1324,100,158,320,127,14,4,377,80,49,641
039900,2587,66,36,269,56,90,1097,70,296,167,5,16,5,450,80,95,670
041001,2340,39,12,265,71,116,862,43,210,59,99,8,2,200,4,155,674
042002,1295,16,7,149,59,35,566,33,161,48,51,8,2,140,39,23,271
042003,3621,38,12,192,47,97,1893,54,254,164,112,6,2,275,28,32,598
043004,4572,65,22,351,83,152,2186,76,321,491,166,13,3,459,136,95,997
043005,1925,30,11,158,43,59,857,29,181,143,39,12,5,139,18,98,392
043006,9525,109,34,621,171,225,4640,57,445,638,229,24,9,628,108,199,1539
044007,1558,10,5,98,13,53,863,30,260,83,194,2,0,132,31,3,376
044008,2404,17,5,153,30,70,1313,58,316,193,140,4,2,220,30,19,456
045009,3619,33,14,257,66,112,1633,73,315,263,132,16,6,303,97,60,696
045010,11239,162,71,1138,422,239,5358,99,539,426,224,17,6,637,176,180,2104
045011,4968,79,30,338,98,137,2354,85,380,509,158,16,7,423,86,66,955
049900,3653,45,25,504,92,132,1536,70,388,156,0,7,1,419,94,134,939
051001,1826,16,3,204,43,79,869,19,164,77,54,5,2,196,14,27,586
051002,3090,39,13,408,109,172,1095,30,146,104,73,26,11,400,42,48,1116
051003,5684,99,47,633,174,235,2193,27,180,231,69,24,7,555,102,193,1496
052004,1639,11,4,154,40,57,745,25,100,56,45,22,3,208,20,9,362
052005,2968,41,19,390,94,145,1063,36,119,59,93,31,15,415,34,27,990
052006,5702,63,22,472,120,164,2230,17,197,239,99,24,10,714,236,80,1140
053007,2164,32,14,154,34,58,1075,33,186,84,52,8,1,231,20,32,530
053008,1550,29,7,155,35,61,694,25,94,81,39,6,4,152,29,22,381
054009,835,5,1,71,14,22,396,20,114,26,65,12,5,117,17,0,144
059900,1775,24,13,207,37,97,724,21,170,101,0,17,3,269,28,43,480
061001,4129,58,27,203,51,49,2320,27,212,171,79,7,1,243,56,43,505
061002,3407,52,17,243,27,145,1557,86,332,201,136,14,8,417,117,41,768
062003,2735,34,14,243,51,150,1056,43,192,105,89,11,3,351,70,49,689
062004,2453,12,4,205,61,61,1153,51,232,192,96,12,5,337,76,28,456
063005,2317,21,5,142,38,76,1196,36,226,276,103,10,2,309,70,48,405
063006,3195,16,2,184,32,91,1704,86,298,214,136,14,8,326,61,21,579
064007,2240,23,5,139,23,76,981,57,210,85,114,18,6,295,102,17,349
064008,3600,36,17,238,48,102,1846,61,486,231,208,19,6,506,154,26,644
069900,1602,32,19,155,17,99,597,19,188,93,0,10,0,298,66,25,423
