id,district_region_name,offences,robbery,street_robbery_purse_snatching,bodily_harm,dangerous_and_grievous_bodily_harm,deprivation_of_liberty_coercion_threat_stalking,theft,motor_vehicle_theft,theft_from_motor_vehicle,bicycle_theft,residential_burglary,fire_offences,arson,damage_to_property,damage_to_property_by_graffiti,narcotics_offences,kieztaten
010000,Mitte,98046,1040,589,7107,1923,2078,46613,509,4846,4594,1265,253,110,5256,1245,2638,15078
011001,Tiergarten Süd,5475,81,58,474,109,107,2720,15,313,246,52,18,11,299,83,135,940
011002,Regierungsviertel,10313,76,36,478,96,130,5849,15,287,363,48,10,4,314,110,46,863
011003,Alexanderplatz,23524,156,90,1476,425,322,12456,80,805,1074,235,35,12,1175,338,497,3009
011004,Brunnenstraße Süd,4583,29,13,207,41,61,2455,59,231,421,108,9,6,369,140,73,867
012005,Moabit West,7428,115,54,569,151,186,3045,53,583,338,112,25,10,444,74,165,1213
012006,Moabit Ost,14091,85,44,733,189,205,4944,42,432,454,98,18,6,448,84,342,1410
013007,Osloer Straße,8017,98,59,786,243,245,3623,35,330,317,167,35,13,479,72,231,1582
013008,Brunnenstraße Nord,7358,84,37,563,144,196,3207,65,405,398,113,22,10,534,127,273,1241
014009,Parkviertel,7093,81,44,676,177,214,3578,55,536,343,126,31,16,493,90,192,1491
014010,Wedding Zentrum,10164,148,90,1025,309,353,3851,48,501,436,203,34,14,640,127,582,2107
019900,"Bezirk (Mi), nicht zuzuordnen",0,87,64,120,39,59,885,42,423,204,3,16,8,61,0,102,355
020000,Friedrichshain-Kreuzberg,67357,1027,581,4727,1500,1106,32845,513,3325,4215,866,228,93,4723,1338,5571,11223
021001,Südliche  Friedrichstadt,11567,134,63,702,198,229,5146,58,866,439,152,30,10,686,122,421,1651
022002,Tempelhofer Vorstadt,11407,104,48,764,189,198,6102,140,735,1200,240,37,18,756,159,346,1789
023003,Nördliche Luisenstadt,7698,139,68,612,218,100,3586,35,264,364,86,29,9,441,120,520,1138
023004,Südliche Luisenstadt,8598,170,109,484,195,147,3474,51,316,423,85,28,13,465,164,1956,1122
024005,Karl-Marx-Allee Nord,2544,36,18,155,47,48,1458,49,197,233,76,9,3,225,62,36,683
024006,Karl-Marx-Allee Süd,7524,125,85,629,172,110,3928,29,236,308,44,14,7,495,165,419,1237
025007,Frankfurter Allee Nord,4626,28,15,319,95,78,2113,53,135,396,60,39,18,554,135,70,1068
025008,Frankfurter Allee Süd FK,12229,194,100,1062,373,162,5852,65,365,691,121,34,12,1072,411,1480,2368
029900,"Bezirk (Fh-Kb), nicht zuzuordnen",1164,97,75,0,13,34,1186,33,211,161,2,8,3,29,0,323,167
030000,Pankow,44156,303,151,2667,619,952,26000,753,3356,4568,1068,196,81,4243,1312,510,11470
031001,Buch,1870,10,5,180,51,76,897,39,185,147,24,22,4,277,60,30,430
032002,Blankenfelde/Niederschönhausen,1464,7,1,113,21,55,727,19,196,116,66,14,4,144,39,18,286
032003,Buchholz,795,2,0,61,12,24,383,18,44,36,34,7,4,93,33,5,136
033004,Karow,831,7,4,60,13,37,443,17,111,92,38,5,1,95,16,4,144
033005,Blankenburg/Heinersdorf/Märchenland,1467,8,1,99,25,38,798,15,124,129,62,5,3,114,25,6,192
034006,Schönholz/Wilhelmsruh/Rosenthal,1061,6,1,56,7,31,564,20,155,74,67,9,4,108,20,8,175
034007,Pankow Zentrum,3902,38,22,231,51,90,2280,52,195,634,89,13,5,399,115,42,787
034008,Pankow Süd,2784,33,20,163,33,70,1533,52,222,336,73,11,7,274,77,36,828
035009,Weißensee,4196,21,7,335,73,135,2411,87,307,354,97,17,2,465,95,45,1179
035010,Weißensee Ost,1458,5,1,135,25,45,712,25,135,84,46,9,3,167,45,33,364
036011,Prenzlauer Berg Nordwest,3863,43,24,206,60,46,2348,39,210,432,58,21,10,310,115,68,1156
036012,Prenzlauer Berg Nord,3962,24,8,190,40,54,2619,86,207,541,56,9,4,246,79,30,1199
036013,Helmholtzplatz,3040,6,3,126,35,40,2110,32,98,323,69,5,3,279,96,19,1200
036014,Prenzlauer Berg Ost,4798,31,16,232,52,72,2818,57,424,389,76,17,9,525,258,43,783
