id,offences,robbery,street_robbery_purse_snatching,bodily_harm,dangerous_and_grievous_bodily_harm,deprivation_of_liberty_coercion_threat_stalking,theft,motor_vehicle_theft,theft_from_motor_vehicle,bicycle_theft,residential_burglary,fire_offences,arson,damage_to_property,damage_to_property_by_graffiti,narcotics_offences,kieztaten
01,84357,707,407,7595,1951,2157,35601,401,3330,3817,845,291,104,6142,1601,4233,15967
02,60290,820,579,5006,1752,1237,25650,387,2120,4094,513,282,102,5349,1454,5232,12431
03,36710,284,176,3174,651,1156,17202,626,1985,3976,846,201,72,4249,1224,788,8054
04,49791,420,212,4131,969,1484,22571,575,3352,3088,1096,225,122,3911,852,1174,10407
05,24751,211,97,2744,619,1057,9694,397,1349,903,395,194,97,2332,236,606,5941
06,24135,217,128,1884,362,862,11356,402,1927,2146,777,194,72,2709,756,412,4876
07,39829,352,202,3353,762,1377,17618,464,2554,2511,779,213,89,3599,934,1209,8879
08,43618,480,273,4072,1219,1467,19291,370,2836,2251,916,222,124,3996,555,2126,10677
09,24878,169,103,2452,562,859,11108,582,1733,2152,458,219,110,2830,636,633,5816
10,23457,239,153,2967,588,906,8605,598,1379,785,331,228,89,2656,445,544,5934
11,27485,260,168,3043,675,950,11637,638,1631,1651,379,202,89,2986,514,534,6882
12,27420,236,129,2614,644,1092,9989,311,1706,1082,623,145,60,2227,428,843,5717
