id,offences,robbery,street_robbery_purse_snatching,bodily_harm,dangerous_and_grievous_bodily_harm,deprivation_of_liberty_coercion_threat_stalking,theft,motor_vehicle_theft,theft_from_motor_vehicle,bicycle_theft,residential_burglary,fire_offences,arson,damage_to_property,damage_to_property_by_graffiti,narcotics_offences,kieztaten
01,98046,1040,589,7107,1923,2078,46613,509,4846,4594,1265,253,110,5256,1245,2638,15078
02,67357,1027,581,4727,1500,1106,32845,513,3325,4215,866,228,93,4723,1338,5571,11223
03,44156,303,151,2667,619,952,26000,753,3356,4568,1068,196,81,4243,1312,510,11470
04,56593,536,288,3805,880,1355,30622,741,4499,3824,1567,145,64,3489,653,885,10407
05,26747,269,142,2622,577,1074,11832,369,1755,924,586,153,64,2260,357,493,6631
06,25128,180,98,1596,315,740,13437,495,2481,2352,1281,86,34,2457,651,356,4478
07,41545,425,247,3119,709,1186,20377,577,2967,2917,1044,171,58,3409,702,900,7933
08,47014,582,326,3762,1018,1367,21690,541,3226,2383,1182,253,108,4161,670,1683,9854
09,24129,197,98,1864,437,730,11706,460,1760,2079,709,155,70,2468,595,517,4798
10,23245,222,121,2841,534,875,9624,584,1941,995,684,186,44,2655,505,367,5720
11,25619,212,110,2351,502,645,12785,735,2133,1854,730,148,58,2542,568,387,5669
12,30801,325,163,2891,653,1152,13835,372,2452,1232,823,131,50,2600,649,869,6959
