id,district_region_name,offences,robbery,street_robbery_purse_snatching,bodily_harm,dangerous_and_grievous_bodily_harm,deprivation_of_liberty_coercion_threat_stalking,theft,motor_vehicle_theft,theft_from_motor_vehicle,bicycle_theft,residential_burglary,fire_offences,arson,damage_to_property,damage_to_property_by_graffiti,narcotics_offences,kieztaten
010000,Mitte,27498,265,166,2012,526,556,13252,145,1351,1369,368,84,30,1515,344,910,4350
011001,Tiergarten Süd,34494,447,371,3153,742,859,17099,103,1937,1594,440,82,14,1821,240,1127,6169
011002,Regierungsviertel,106538,844,594,5230,992,1243,59761,139,2235,2893,501,93,28,3357,1048,658,9302
011003,Alexanderplatz,42937,307,190,2657,731,597,24844,149,1444,2373,414,90,38,2026,618,1002,5474
011004,Brunnenstraße Süd,16425,113,75,863,178,277,9193,222,818,1859,311,65,24,1489,702,229,2861
012005,Moabit West,20624,228,126,1602,497,418,7207,110,1127,1032,305,99,40,1277,159,1418,3597
012006,Moabit Ost,51726,223,115,2516,596,644,14801,102,1305,1409,395,121,32,1426,226,1195,5063
013007,Osloer Straße,20660,221,127,1965,478,562,10209,120,1204,876,486,88,31,1253,192,647,4032
013008,Brunnenstraße Nord,20759,220,115,1675,491,494,10033,193,1189,934,379,91,19,1563,454,615,3573
014009,Parkviertel,16082,142,71,1526,383,496,8377,140,1239,814,267,44,24,1326,234,456,3815
014010,Wedding Zentrum,18390,204,119,1828,503,522,7557,101,1105,783,336,62,25,1224,257,1151,3760
019900,"Bezirk (Mi), nicht zuzuordnen",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
020000,Friedrichshain-Kreuzberg,21429,337,204,1622,517,386,10668,169,1123,1653,276,105,41,1883,503,1576,4044
021001,Südliche  Friedrichstadt,27409,499,291,1821,611,517,13268,164,1920,1468,338,109,27,1716,318,1895,4267
022002,Tempelhofer Vorstadt,16789,163,88,1171,334,365,9076,204,1108,1799,320,92,56,1404,285,423,2962
023003,Nördliche Luisenstadt,31746,560,351,2523,1072,455,15145,109,1228,1617,285,123,38,2428,749,2836,4606
023004,Südliche Luisenstadt,21867,523,342,1676,603,356,9599,113,956,1374,233,105,33,1992,705,3958,3606
024005,Karl-Marx-Allee Nord,12336,128,64,967,226,256,6722,285,907,1129,332,72,43,1286,311,119,3544
024006,Karl-Marx-Allee Süd,30698,440,290,2613,767,444,16162,195,987,1713,253,62,17,2066,606,1709,6057
025007,Frankfurter Allee Nord,17146,101,41,1088,308,335,7666,115,659,1717,213,183,51,2106,439,483,3630
