id,offences,robbery,street_robbery_purse_snatching,bodily_harm,dangerous_and_grievous_bodily_harm,deprivation_of_liberty_coercion_threat_stalking,theft,motor_vehicle_theft,theft_from_motor_vehicle,bicycle_theft,residential_burglary,fire_offences,arson,damage_to_property,damage_to_property_by_graffiti,narcotics_offences,kieztaten
0110,37560,278,156,2954,744,741,17801,117,1050,1869,277,91,29,2463,751,1513,6405
0120,16257,107,53,1310,352,424,5520,72,539,654,189,66,31,1171,181,1153,2953
0130,12267,116,67,1409,366,421,4903,101,661,597,152,60,16,1046,337,682,2832
0140,13954,143,81,1637,414,507,5459,85,861,564,226,69,27,1264,274,703,3250
0199,4319,63,50,285,75,64,1918,26,219,133,1,5,1,198,58,182,527
0210,9233,122,66,761,211,251,3989,41,432,481,105,41,17,670,117,626,1891
0220,11577,112,76,798,262,257,5494,107,504,1156,113,54,23,1249,484,502,1999
0230,11699,257,200,1033,457,218,4675,62,436,729,100,70,23,899,187,1755,2347
0240,10533,120,85,964,320,205,4603,82,314,538,78,28,14,737,170,728,2107
0250,14805,142,92,1321,447,254,5889,78,326,1094,117,85,24,1647,451,1436,3756
0299,2443,67,60,129,55,52,1000,17,108,96,0,4,1,147,45,185,331
0310,1759,8,4,237,56,87,715,15,69,113,8,23,4,251,49,35,424
0320,2359,8,4,174,24,92,999,38,196,205,91,19,9,284,40,24,479
0330,2218,9,8,185,31,85,1023,27,166,220,92,15,8,274,66,45,396
0340,6467,72,52,536,105,220,3098,130,401,871,198,39,14,711,194,91,1502
0350,4757,26,13,484,98,184,2273,90,292,437,113,21,10,579,135,115,1224
0360,11903,96,57,950,206,313,5832,210,476,1282,210,56,15,1371,483,336,2480
0370,5764,43,20,534,119,134,2739,89,271,713,134,20,9,680,237,95,1350
0399,1483,22,18,74,12,41,523,27,114,135,0,8,3,99,20,47,199
0410,2615,35,10,308,81,107,1000,72,297,58,75,26,17,195,28,212,674
0420,4932,40,26,462,127,190,2431,72,444,247,204,30,24,494,106,76,1148
0430,14415,106,43,1355,305,504,6582,106,726,1069,234,65,36,1260,242,306,3320
0440,4307,28,18,303,49,132,2177,97,472,361,226,24,6,516,154,55,971
0450,21537,173,80,1579,373,482,9601,194,1235,1264,357,71,32,1357,307,476,3999
0499,1985,38,35,124,34,69,780,34,178,89,0,9,7,89,15,49,295
0510,9984,91,40,1208,264,470,3684,163,549,332,118,95,44,1032,69,340,2645
0520,9860,71,30,1116,265,379,4059,112,457,365,131,61,26,874,120,158,2265
0530,3074,30,15,278,58,121,1275,78,232,138,59,22,15,233,42,71,660
0540,930,6,3,88,21,58,338,19,34,36,86,7,5,121,4,8,233
0599,903,13,9,54,11,29,338,25,77,32,1,9,7,72,1,29,138
0610,7069,73,45,507,99,198,3695,115,452,641,207,68,17,654,132,128,1404
0620,5341,40,19,565,98,228,2173,100,424,260,183,35,13,575,98,101,1330
0630,5417,53,36,442,79,216,2563,73,478,641,144,31,9,532,66,92,1096
0640,5479,43,22,341,77,177,2587,101,511,512,243,49,26,874,455,76,923
0699,829,8,6,29,9,43,338,13,62,92,0,11,7,74,5,15,123
0710,9229,115,72,724,203,220,4532,37,372,620,113,32,18,660,229,408,1979
0720,6765,41,23,574,137,196,2897,47,281,575,88,20,7,606,174,230,1579
0730,3974,26,15,262,50,117,2096,65,307,404,92,32,15,382,88,59,758
0740,8885,64,26,808,173,316,3723,113,659,395,173,47,19,875,259,282,2102
0750,4293,39,20,326,66,252,1771,61,413,200,171,21,7,393,67,86,1061
0760,5307,47,29,581,120,225,1916,125,408,222,141,56,21,641,111,104,1213
0799,1376,20,17,78,13,51,683,16,114,95,1,5,2,42,6,40,187
0810,28185,300,165,2506,839,756,13161,131,1510,1748,445,141,83,2342,418,1785,6577
0820,6688,75,42,679,147,333,2599,94,598,231,240,38,18,822,69,194,2002
0830,3630,45,24,438,125,166,1669,43,329,105,72,21,7,365,29,44,1017
0840,3592,33,18,378,82,171,1242,86,286,121,159,19,14,392,19,53,892
0899,1523,27,24,71,26,41,620,16,113,46,0,3,2,75,20,50,189
0910,6270,58,32,485,106,217,3341,142,474,603,151,35,15,556,103,207,1665
0920,7777,39,23,830,195,259,3460,162,607,638,93,53,25,939,240,180,1765
0930,3432,19,10,372,75,144,1406,128,223,228,97,37,18,422,96,62,833
0940,2127,8,5,236,51,80,751,36,117,166,41,33,21,301,51,62,520
0950,4071,30,20,445,119,116,1750,87,218,441,76,39,12,492,122,102,832
0999,1201,15,13,84,16,43,400,27,94,76,0,22,19,120,24,20,201
1010,10363,113,74,1492,322,411,3742,350,724,218,84,87,32,1112,163,253,2741
1020,7390,85,52,1031,181,328,2663,126,298,219,46,101,39,960,170,195,2283
1030,2168,17,9,199,36,72,997,42,144,148,76,16,6,179,25,32,386
1040,2508,9,5,197,38,76,969,59,164,175,125,23,11,323,72,47,413
