id,offences,robbery,street_robbery_purse_snatching,bodily_harm,dangerous_and_grievous_bodily_harm,deprivation_of_liberty_coercion_threat_stalking,theft,motor_vehicle_theft,theft_from_motor_vehicle,bicycle_theft,residential_burglary,fire_offences,arson,damage_to_property,damage_to_property_by_graffiti,narcotics_offences,kieztaten
011001,30725,349,188,2290,591,826,13889,87,1115,1887,369,81,40,2042,390,1518,6132
011002,58732,294,119,4147,1009,1136,27475,87,1279,2693,167,151,32,3798,1247,1303,7961
011003,37331,261,146,3185,812,694,18168,96,951,1550,238,73,21,2193,637,1804,6265
011004,13025,123,91,820,195,240,5770,120,555,1129,202,57,22,1324,536,271,2800
012005,15090,132,54,1455,449,430,4441,97,674,700,201,60,32,1360,192,1315,2988
012006,23451,116,71,1609,364,569,8763,68,574,835,243,96,40,1369,233,1377,3970
013007,15070,144,69,1857,428,546,6255,118,718,703,198,77,15,1193,298,706,3710
013008,16320,153,102,1749,508,531,6293,140,973,825,191,77,26,1483,564,1039,3538
014009,13158,127,88,1474,339,464,5701,97,967,552,244,69,28,1103,183,309,3127
014010,13645,146,69,1657,446,507,4893,69,717,535,196,64,24,1308,328,973,3128
019900,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
021001,22677,300,162,1869,518,616,9797,101,1061,1181,258,101,42,1646,287,1538,4644
022002,17602,170,116,1213,398,391,8353,163,766,1758,172,82,35,1899,736,763,3039
023003,24170,403,278,2339,963,436,11201,120,1093,1352,206,120,38,1773,379,2185,4865
023004,24203,629,516,1982,931,462,8502,135,756,1625,207,164,55,1924,393,4723,4843
024005,10550,153,103,956,244,261,5086,211,505,915,186,33,21,1221,248,236,2632
024006,31214,324,235,2866,1020,555,13191,121,751,1239,129,78,35,1728,430,2623,5751
025007,13157,97,48,1187,342,300,5734,106,258,1132,158,155,29,1925,381,377,3863
025008,19810,207,142,1760,630,297,7593,83,454,1372,126,68,28,1939,615,2436,4725
029900,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
031001,10409,47,24,1402,331,515,4231,89,408,669,47,136,24,1485,290,207,2509
032002,5414,17,14,355,49,181,2246,108,435,508,216,52,24,710,104,52,1118
032003,4398,16,0,394,55,219,1936,38,388,323,159,22,11,438,55,49,864
033004,4198,20,20,403,46,209,1783,31,270,433,239,31,20,489,138,107,881
033005,8843,32,25,672,140,279,4269,133,717,856,285,57,25,1129,247,152,1415
034006,5783,61,44,424,50,171,2856,83,649,275,517,50,28,627,99,44,1348
034007,8146,98,82,634,150,245,4141,122,378,1309,158,33,5,827,239,103,1741
034008,6906,71,40,644,117,282,3014,200,411,969,131,51,20,835,251,128,1759
035009,8829,42,23,879,182,342,4397,158,485,897,215,31,16,1030,262,166,2148
035010,8765,65,26,939,181,337,3744,188,680,590,194,58,26,1179,220,330,2565
036011,11088,117,79,936,245,253,5089,155,340,1385,143,57,8,1083,332,544,2284
036012,10306,77,29,758,142,273,5743,259,594,1425,149,40,15,1090,324,255,2216
036013,8604,44,31,736,171,210,3813,123,254,982,259,35,9,1337,574,131,2038
036014,15320,125,77,1196,231,451,7478,257,605,1101,264,81,26,1761,642,338,2943
037015,11699,63,29,1395,339,247,5620,136,508,1314,258,48,18,1362,486,177,2760
037016,7665,77,36,460,80,199,3594,154,394,1056,190,21,12,919,311,139,1779
039900,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
041001,13391,179,51,1577,415,548,5121,369,1521,297,384,133,87,999,143,1086,3451
042002,10845,99,76,1222,379,440,4546,175,1085,357,622,99,99,1336,478,243,2740
